"","ENSEMBLE_ID","symbol","id_symbol"
"1389","ENSG00000077514","POLD3","ENSG00000077514;POLD3"
"12484","ENSG00000169020","ATP5ME","ENSG00000169020;ATP5ME"
"17164","ENSG00000196670","ZFP62","ENSG00000196670;ZFP62"
"17852","ENSG00000198805","PNP","ENSG00000198805;PNP"
"5904","ENSG00000127337","YEATS4","ENSG00000127337;YEATS4"
"4790","ENSG00000118260","CREB1","ENSG00000118260;CREB1"
"11193","ENSG00000164011","ZNF691","ENSG00000164011;ZNF691"
"37351","ENSG00000246250","ENSG00000246250","ENSG00000246250;ENSG00000246250"
"15525","ENSG00000183665","TRMT12","ENSG00000183665;TRMT12"
"4643","ENSG00000116954","RRAGC","ENSG00000116954;RRAGC"
"48515","ENSG00000266302","ENSG00000266302","ENSG00000266302;ENSG00000266302"
"52998","ENSG00000275074","NUDT18","ENSG00000275074;NUDT18"
"728","ENSG00000054392","HHAT","ENSG00000054392;HHAT"
"25194","ENSG00000224273","RABGEF1P3","ENSG00000224273;RABGEF1P3"
"5336","ENSG00000123094","RASSF8","ENSG00000123094;RASSF8"
"187","ENSG00000007516","BAIAP3","ENSG00000007516;BAIAP3"
"12256","ENSG00000168038","ULK4","ENSG00000168038;ULK4"
"35743","ENSG00000241127","YAE1","ENSG00000241127;YAE1"
"15752","ENSG00000184602","SNN","ENSG00000184602;SNN"
"9364","ENSG00000151151","IPMK","ENSG00000151151;IPMK"
"13187","ENSG00000172006","ZNF554","ENSG00000172006;ZNF554"
"10258","ENSG00000158805","ZNF276","ENSG00000158805;ZNF276"
"57542","ENSG00000284686","ENSG00000284686","ENSG00000284686;ENSG00000284686"
"10122","ENSG00000157693","TMEM268","ENSG00000157693;TMEM268"
"20255","ENSG00000205835","GMNC","ENSG00000205835;GMNC"
"9061","ENSG00000148291","SURF2","ENSG00000148291;SURF2"
"23655","ENSG00000219438","TAFA5","ENSG00000219438;TAFA5"
"2218","ENSG00000100209","HSCB","ENSG00000100209;HSCB"
"3974","ENSG00000111877","MCM9","ENSG00000111877;MCM9"
"17559","ENSG00000197943","PLCG2","ENSG00000197943;PLCG2"
"17736","ENSG00000198520","ARMH1","ENSG00000198520;ARMH1"
"9461","ENSG00000151881","TMEM267","ENSG00000151881;TMEM267"
"6672","ENSG00000132879","FBXO44","ENSG00000132879;FBXO44"
"9708","ENSG00000154065","ANKRD29","ENSG00000154065;ANKRD29"
"12829","ENSG00000170500","LONRF2","ENSG00000170500;LONRF2"
"12034","ENSG00000167191","GPRC5B","ENSG00000167191;GPRC5B"
"6578","ENSG00000132423","COQ3","ENSG00000132423;COQ3"
"14615","ENSG00000179151","EDC3","ENSG00000179151;EDC3"
"7189","ENSG00000135976","ANKRD36","ENSG00000135976;ANKRD36"
"10174","ENSG00000158122","PRXL2C","ENSG00000158122;PRXL2C"
"9033","ENSG00000147996","ZNG1E","ENSG00000147996;ZNG1E"
