S1	S2	S5	S6	S7	S8	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
843	791	757	1624	1139	758	1001	802	1152	1367	1165	1086	693	1106	2120	783
21054	29338	18791	36674	27307	19005	26136	21550	18165	15866	32070	34680	21583	29911	49912	19333
2516	2848	2207	4571	3536	2436	2747	2079	3201	3196	3970	3737	2789	3332	5851	2312
661	876	692	1327	972	649	808	664	876	897	1125	1118	476	714	1930	788
5	3	2	8	50	23	20	11	75	78	2	6	5	9	9	1
204	246	178	443	326	239	269	159	357	292	368	286	254	297	575	206
810	973	695	1496	1300	787	896	736	1224	1391	1091	1167	753	967	1654	668
13	2	2	7	8	4	4	5	6	6	4	7	3	5	8	4
1719	1810	1587	3357	2802	1839	1984	1549	2629	2898	2266	2205	1576	2413	3611	1399
5306	6576	4392	9607	6691	4400	5923	4526	5931	5322	6782	6864	3703	5024	11158	4389
220	264	208	399	293	217	255	219	393	401	278	290	259	390	548	198
1429	1575	1105	2521	1584	1049	1373	1112	1378	1288	1574	1548	1470	1757	3105	1188
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
578	766	544	1157	983	667	840	616	1050	1001	725	754	334	467	1108	435
786	972	566	1275	991	715	778	749	734	634	944	957	397	622	1533	586
2	13	7	9	1	9	2	0	11	27	6	3	11	30	9	13
279	359	287	543	341	278	254	276	294	230	339	371	152	248	621	203
6	2	0	8	12	1	9	8	10	5	12	15	0	1	9	8
1924	2563	1780	3315	2531	1685	2143	1816	2384	2249	2505	2778	1559	2367	3891	1492
25	12	18	41	74	44	28	8	80	200	38	36	16	3	90	16
187	214	162	287	216	123	167	119	157	147	200	224	38	60	317	121
921	985	643	1421	443	300	916	847	483	440	854	1051	469	801	1780	776
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	110	67	221	215	116	99	98	163	173	153	128	83	93	232	59
339	391	256	622	310	178	363	229	290	298	326	461	90	143	638	145
106	112	97	193	137	90	124	118	160	195	156	148	152	185	299	76
26	15	30	66	64	21	44	13	33	61	27	41	15	25	81	25
404	481	369	776	724	433	508	371	623	753	541	516	226	320	879	273
583	653	454	1000	1257	704	637	479	820	674	845	854	835	1209	1404	642
144	183	108	274	51	39	136	81	73	46	154	187	71	85	237	106
521	628	493	939	967	669	711	521	1241	1410	920	939	997	1142	1456	592
144	149	136	215	79	70	209	152	232	186	212	184	62	107	363	108
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1574	1603	1358	2468	1628	1163	1606	1154	1796	1773	1630	1740	1673	2151	2854	1146
1542	1957	1418	2776	2160	1603	1782	1344	1422	1312	2413	2363	1424	1965	3640	1689
77	149	70	182	86	54	92	65	66	69	83	142	39	62	216	85
6	19	12	20	19	23	18	7	5	11	15	17	90	87	16	12
1	0	0	0	0	1	2	0	2	1	0	1	0	0	0	0
1983	2420	1713	3748	3241	1998	2065	1525	1988	2027	2402	2363	907	1228	3915	1469
825	948	763	1611	1623	1062	909	807	1445	1403	1249	1178	885	1274	2152	821
455	538	389	765	683	432	468	403	579	531	580	548	434	602	875	336
